DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId,,exist in zotero,pages
10.1080/01621459.2020.1736081,Hierarchical Probabilistic Forecasting of Electricity Demand With Smart Meter Data,"Souhaib Ben Taieb, James W. Taylor, Rob Hyndman",Journal of the American Statistical Association,2020,"Abstract Decisions regarding the supply of electricity across a power grid must take into consideration the inherent uncertainty in demand. Optimal decision-making requires probabilistic forecasts for demand in a hierarchy with various levels of aggregation, such as substations, cities, and regions. The forecasts should be coherent in the sense that the forecast of the aggregated series should equal the sum of the forecasts of the corresponding disaggregated series. Coherency is essential, since the allocation of electricity at one level of the hierarchy relies on the appropriate amount being provided from the previous level. We introduce a new probabilistic forecasting method for a large hierarchy based on UK residential smart meter data. We find our method provides coherent and accurate probabilistic forecasts, as a result of an effective forecast combination. Furthermore, by avoiding distributional assumptions, we find that our method captures the variety of distributions in the smart meter hierarchy. Finally, the results confirm that, to ensure coherency in our large-scale hierarchy, it is sufficient to model a set of lower-dimension dependencies, rather than modeling the entire joint distribution of all series in the hierarchy. In achieving coherent and accurate hierarchical probabilistic forecasts, this work contributes to improved decision-making for smart grids. Supplementary materials for this article, including a standardized description of the materials available for reproducing the work, are available as an online supplement.",8e9fe8d3-7180-4b5b-8919-a8f015ca3f8e,147,63,(missing PubMedId),,yes,37
(missing DOI),Coherent Probabilistic Forecasts for Hierarchical Time Series,"Souhaib Ben Taieb, James W. Taylor, Rob Hyndman",Research Papers in Economics,2017,"Many applications require forecasts for a hierarchy comprising a set of time series along with aggregates of subsets of these series. Although forecasts can be produced independently for each series in the hierarchy, typically this does not lead to coherent forecasts -- the property that forecasts add up appropriately across the hierarchy. State-of-the-art hierarchical forecasting methods usually reconcile the independently generated forecasts to satisfy the aggregation constraints. A fundamental limitation of prior research is that it has considered only the problem of forecasting the mean of each time series. We consider the situation where probabilistic forecasts are needed for each series in the hierarchy. We define forecast coherency in this setting, and propose an algorithm to compute predictive distributions for each series in the hierarchy. Our algorithm has the advantage of synthesizing information from different levels in the hierarchy through a sparse forecast combination and a probabilistic hierarchical aggregation. We evaluate the accuracy of our forecasting algorithm on both simulated data and large-scale electricity smart meter data. The results show consistent performance gains compared to state-of-the art methods.",aa94081d-1437-4619-b40f-e8d526514249,111,36,(missing PubMedId),,yes,10
(missing DOI),Coherent Probabilistic Forecasts for Hierarchical Time Series,"Souhaib Ben Taieb, J. W. Taylor, Rob Hyndman",International Conference on Machine Learning,2017,"Many applications require forecasts for a hierarchy comprising a set of time series along with aggregates of subsets of these series. Although forecasts can be produced independently for each series in the hierarchy, typically this does not lead to coherent forecasts -- the property that forecasts add up appropriately across the hierarchy. State-of-the-art hierarchical forecasting methods usually reconcile the independently generated forecasts to satisfy the aggregation constraints. A fundamental limitation of prior research is that it has considered only the problem of forecasting the mean of each time series. We consider the situation where probabilistic forecasts are needed for each series in the hierarchy. We define forecast coherency in this setting, and propose an algorithm to compute predictive distributions for each series in the hierarchy. Our algorithm has the advantage of synthesizing information from different levels in the hierarchy through a sparse forecast combination and a probabilistic hierarchical aggregation. We evaluate the accuracy of our forecasting algorithm on both simulated data and large-scale electricity smart meter data. The results show consistent performance gains compared to state-of-the art methods.",e1372698-4f2c-4218-a71c-a5ebae5e71f1,109,36,(missing PubMedId),,Douplicate,
10.1007/978-3-319-18732-7_15,Game-theoretically Optimal Reconciliation of Contemporaneous Hierarchical Time Series Forecasts,"Tim van Erven, Jairo Cugliari",Lecture notes in statistics,2015,"In hierarchical time series (HTS) forecasting, the hierarchical relation between multiple time series is exploited to make better forecasts. This hierarchical relation implies one or more aggregate consistency constraints that the series are known to satisfy. Many existing approaches, like for example bottom-up or top-down forecasting, therefore attempt to achieve this goal in a way that guarantees that the forecasts will also be aggregate consistent. We propose to split the problem of HTS into two independent steps: first one comes up with the best possible forecasts for the time series without worrying about aggregate consistency; and then a reconciliation procedure is used to make the forecasts aggregate consistent. We introduce a Game-Theoretically OPtimal (GTOP) reconciliation method, which is guaranteed to only improve any given set of forecasts. This opens up new possibilities for constructing the forecasts. For example, it is not necessary to assume that bottom-level forecasts are unbiased, and aggregate forecasts may be constructed by regressing both on bottom-level forecasts and on other covariates that may only be available at the aggregate level. We illustrate the benefits of our approach both on simulated data and on real electricity consumption data.",f9c8c492-8e98-443d-926c-ee47c2d361c2,77,21,(missing PubMedId),,yes,20
10.1007/S10994-021-06126-Z,Model selection in reconciling hierarchical time series,"Mahdi Abolghasemi, Rob Hyndman, Evangelos Spiliotis, Christoph Bergmeir",Machine-mediated learning,2022,"Model selection has been proven an effective strategy for improving accuracy in time series forecasting applications. However, when dealing with hierarchical time series, apart from selecting the most appropriate forecasting model, forecasters have also to select a suitable method for reconciling the base forecasts produced for each series to make sure they are coherent. Although some hierarchical forecasting methods like minimum trace are strongly supported both theoretically and empirically for reconciling the base forecasts, there are still circumstances under which they might not produce the most accurate results, being outperformed by other methods. In this paper we propose an approach for dynamically selecting the most appropriate hierarchical forecasting reconciliation method and leading to more accurate coherent forecasts. The approach, which we call conditional hierarchical forecasting, is based on machine learning classification methods that use time series features to select the reconciliation method for each hierarchy. Moreover, it allows the selection to be tailored according to the accuracy measure of preference and the hierarchical level(s) of interest. Our results suggest that conditional hierarchical forecasting can lead to significantly more accurate forecasts than standard approaches, especially at lower hierarchical levels.",5109f7a1-695c-448a-b799-e6378769215b,31,92,(missing PubMedId),,yes,51
10.1080/01621459.2018.1448825,Optimal Forecast Reconciliation for Hierarchical and Grouped Time Series Through Trace Minimization,"Shanika L. Wickramasuriya, George Athanasopoulos, Rob Hyndman",Journal of the American Statistical Association,2019,Large collections of time series often have aggregation constraints due to product or geographical groupings. The forecasts for the most disaggregated series are usually required to add-up exactly ...,17acd47f-982e-4eba-b3dd-396f4eb70040,352,28,(missing PubMedId),,yes,45
10.1016/J.CSDA.2011.03.006,Optimal combination forecasts for hierarchical time series,"Rob Hyndman, Roman A. Ahmed, George Athanasopoulos, Han Lin Shang",Computational Statistics & Data Analysis,2011,"In many applications, there are multiple time series that are hierarchically organized and can be aggregated at several different levels in groups based on products, geography or some other features. We call these ''hierarchical time series''. They are commonly forecast using either a ''bottom-up'' or a ''top-down'' method. In this paper we propose a new approach to hierarchical forecasting which provides optimal forecasts that are better than forecasts produced by either a top-down or a bottom-up approach. Our method is based on independently forecasting all series at all levels of the hierarchy and then using a regression model to optimally combine and reconcile these forecasts. The resulting revised forecasts add up appropriately across the hierarchy, are unbiased and have minimum variance amongst all combination forecasts under some simple assumptions. We show in a simulation study that our method performs well compared to the top-down approach and the bottom-up method. We demonstrate our proposed method by forecasting Australian tourism demand where the data are disaggregated by purpose of travel and geographical region.",b4248c8e-3e27-462f-b745-05a496890842,575,53,(missing PubMedId),,yes,23
10.1016/J.ESWA.2021.115102,A machine learning approach for forecasting hierarchical time series,"Paolo Mancuso, Veronica Piccialli, Antonio M. Sudoso",Expert systems with applications,2021,"In this paper, we propose a machine learning approach for forecasting hierarchical time series. When dealing with hierarchical time series, apart from generating accurate forecasts, one needs to select a suitable method for producing reconciled forecasts. Forecast reconciliation is the process of adjusting forecasts to make them coherent across the hierarchy. In literature, coherence is often enforced by using a post-processing technique on the base forecasts produced by suitable time series forecasting methods. On the contrary, our idea is to use a deep neural network to directly produce accurate and reconciled forecasts. We exploit the ability of a deep neural network to extract information capturing the structure of the hierarchy. We impose the reconciliation at training time by minimizing a customized loss function. In many practical applications, besides time series data, hierarchical time series include explanatory variables that are beneficial for increasing the forecasting accuracy. Exploiting this further information, our approach links the relationship between time series features extracted at any level of the hierarchy and the explanatory variables into an end-to-end neural network providing accurate and reconciled point forecasts. The effectiveness of the approach is validated on three real-world datasets, where our method outperforms state-of-the-art competitors in hierarchical forecasting.",330204e3-a3bb-46ef-9502-e6db23e6180d,79,51,(missing PubMedId),,yes,45
10.1080/00207543.2021.1896817,Forecasting hierarchical time series in supply chains: an empirical investigation,"Dejan Mirčetić, Bahman Rostami-Tabar, Svetlana Nikoličić, Marinko Maslarić",International Journal of Production Research,2021,"Demand forecasting is a fundamental component of efficient supply chain management. An accurate demand forecast is required at several different levels of a supply chain network to support the planning and decision-making process in various departments. In this paper, we investigate the performance of bottom-up, top-down and optimal combination forecasting approaches in a supply chain. We first evaluate their forecast performance by means of a simulation study and an empirical investigation in a multi-echelon distribution network from a major European brewery company. For the latter, the grouped time series forecasting structure is designed to support managers’ decisions in manufacturing, marketing, finance and logistics. Then, we examine the forecast accuracy of combining forecasts of these approaches. Results reveal that forecast combinations produce forecasts that are more accurate and less biased than individual approaches. Moreover, we develop a model to analyse the association between time series characteristics and the effectiveness of each approach. Results provide insights into the interaction among time series characteristics and the performance of these approaches at the bottom level of the hierarchy. Valuable insights are offered to practitioners and the paper closes with final remarks and agenda for further research in this area.",3a5b9de0-6aa7-48a5-b297-fee159e97c68,42,68,(missing PubMedId),,yes,33
10.1007/S10994-021-06126-Z,Model selection in reconciling hierarchical time series.,"Mahdi Abolghasemi, Rob Hyndman, Evangelos Spiliotis, Christoph Bergmeir",arXiv (Cornell University),2020,"Model selection has been proven an effective strategy for improving accuracy in time series forecasting applications. However, when dealing with hierarchical time series, apart from selecting the most appropriate forecasting model, forecasters have also to select a suitable method for reconciling the base forecasts produced for each series to make sure they are coherent. Although some hierarchical forecasting methods like minimum trace are strongly supported both theoretically and empirically for reconciling the base forecasts, there are still circumstances under which they might not produce the most accurate results, being outperformed by other methods. In this paper we propose an approach for dynamically selecting the most appropriate hierarchical forecasting method and succeeding better forecasting accuracy along with coherence. The approach, to be called conditional hierarchical forecasting, is based on Machine Learning classification methods and uses time series features as leading indicators for performing the selection for each hierarchy examined considering a variety of alternatives. Our results suggest that conditional hierarchical forecasting leads to significantly more accurate forecasts than standard approaches, especially at lower hierarchical levels.",9e91156f-f37d-4d5d-8cea-723f2d4b067c,23,81,(missing PubMedId),,Douplicate,
