target,feature,n,pearson_r,spearman_r
milk_kg,DIM,1631410,-0.5492,-0.5621
milk_kg,AFC,1630484,0.0713,0.1037
milk_kg,parity,1631410,0.0768,0.111
milk_kg,temperature_avg,1631410,0.0608,0.0647
milk_kg,humidity_avg,1631410,-0.0513,-0.0487
milk_kg,wind_speed_avg,1631410,-0.0091,0.0011
milk_kg,THI_1_avg,1631410,0.061,0.0647
milk_kg,THI_1_avg_anom,1631410,0.0013,0.0017
milk_kg,THI_1_avg_anom_lag1,1386495,0.0047,0.005
milk_kg,WHI_avg_anom,1631410,-0.0009,-0.0037
milk_kg,milk_kg_lag1,1386495,0.692,0.695
milk_kg,milk_kg_lag2,1141580,0.6363,0.6414
milk_kg,protein_p_lag1,1386495,-0.2606,-0.2844
milk_kg,protein_p_lag2,1141580,-0.1977,-0.2215
protein_p,DIM,1631410,0.3575,0.3645
protein_p,AFC,1630484,-0.0632,-0.0596
protein_p,parity,1631410,-0.0605,-0.0584
protein_p,temperature_avg,1631410,-0.0634,-0.0688
protein_p,humidity_avg,1631410,0.028,0.0324
protein_p,wind_speed_avg,1631410,0.0085,0.0103
protein_p,THI_1_avg,1631410,-0.0644,-0.0694
protein_p,THI_1_avg_anom,1631410,-0.0192,-0.0209
protein_p,THI_1_avg_anom_lag1,1386495,-0.0096,-0.0103
protein_p,WHI_avg_anom,1631410,-0.0182,-0.0176
protein_p,milk_kg_lag1,1386495,-0.2966,-0.3061
protein_p,milk_kg_lag2,1141580,-0.2116,-0.2166
protein_p,protein_p_lag1,1386495,0.5243,0.5391
protein_p,protein_p_lag2,1141580,0.4292,0.4435
