dim30,milk_kg,fat_p,protein_p,SCS,ECM,n
1,11.093,6.882,4.736,3.039,16.728,154825
2,12.123,6.923,4.461,2.807,17.975,188135
3,11.471,7.308,4.475,2.909,17.535,193189
4,10.457,7.739,4.565,3.059,16.608,193958
5,9.475,8.119,4.67,3.168,15.572,186217
6,8.58,8.456,4.766,3.251,14.53,175447
7,7.769,8.724,4.851,3.309,13.483,160599
8,7.057,8.891,4.92,3.363,12.456,137684
9,6.467,8.975,4.966,3.421,11.529,101449
10,6.098,9.041,5.0,3.474,10.948,64580
11,5.872,9.039,5.021,3.51,10.568,38348
12,5.647,9.031,5.031,3.522,10.171,25773
