trait,window,per10_DIMctrl,p
milk_kg,1,-0.0704,0.021374039278924197
milk_kg,3,-0.1161,0.0003278850828258658
milk_kg,7,-0.1544,6.175945769413479e-05
milk_kg,14,-0.235,2.703305474832958e-06
milk_kg,30,-0.3367,4.155031533346593e-06
milk_kg,45,-0.4676,1.0302304564453427e-09
milk_kg,60,-0.5238,2.747879524422069e-10
milk_kg,90,-0.62,3.428516113418104e-10
SCS,1,-0.0115,0.5482908414897891
SCS,3,-0.0193,0.3320625050504451
SCS,7,-0.0201,0.3979206474843471
SCS,14,0.003,0.9125018765210405
SCS,30,-0.0064,0.8438334054025936
SCS,45,0.0143,0.7170154994981688
SCS,60,0.0059,0.9052259796188922
SCS,90,0.1016,0.12455774876150719
fat_p,1,-0.0636,0.009882531703799664
fat_p,3,-0.0683,0.004918207383835743
fat_p,7,-0.0934,0.0017589547230314937
fat_p,14,-0.0685,0.06455628144557532
fat_p,30,0.044,0.39755476989938154
fat_p,45,0.1071,0.032439303990412824
fat_p,60,0.1453,0.018585581962403525
fat_p,90,0.292,0.0004934614499951196
protein_p,1,-0.0137,0.007725284726709305
protein_p,3,-0.0101,0.046681204791915475
protein_p,7,-0.0099,0.14331214373655807
protein_p,14,-0.0024,0.7922083768319377
protein_p,30,0.0404,0.001359705184075311
protein_p,45,0.0552,5.638758671575121e-05
protein_p,60,0.0542,0.0002928486683420532
protein_p,90,0.0705,0.00037541357947432785
