Region,farms,records,milk_kg,fat_p,protein_p,SCS,ECM,THI_avg,THI_max,parity,AFC_mo,heatday_frac,macro_area
Abruzzo,1,186,8.807,7.926,4.933,1.991,14.441,56.702,66.851,1.0,31.836,0.237,South
Basilicata,6,41588,10.18,8.131,4.779,3.6,16.571,57.933,67.937,2.66,34.226,0.26,South
Calabria,4,34351,9.504,7.972,4.613,3.194,15.124,62.335,68.601,2.814,34.63,0.242,South
Campania,179,863661,9.294,8.081,4.694,3.258,15.052,61.008,69.186,2.65,37.787,0.27,South
Emilia Romagna,1,387,8.514,7.858,4.623,3.257,13.49,56.617,65.085,2.667,39.168,0.225,North
Friuli Venezia Giulia,3,22509,9.441,7.916,4.563,2.715,14.887,56.002,62.744,2.892,39.703,0.126,North
Lazio,91,449054,9.476,7.805,4.755,2.813,15.173,61.407,69.412,2.778,38.714,0.274,Central
Lombardia,4,58686,8.462,8.537,4.745,3.578,14.159,56.41,64.537,2.587,34.493,0.204,North
Marche,1,1812,8.622,7.682,4.66,2.626,13.544,61.255,68.969,2.541,38.77,0.249,Central
Molise,1,7070,10.68,8.036,4.472,2.717,16.886,59.318,69.009,3.095,33.083,0.28,South
Piemonte,3,41815,9.208,7.861,4.68,4.323,14.683,54.756,62.573,2.576,37.686,0.158,North
Puglia,11,65566,9.946,7.812,4.715,2.657,15.806,60.779,69.571,2.865,38.031,0.284,South
Sicilia,4,9566,8.18,8.912,4.626,3.988,13.958,59.599,67.042,2.296,40.744,0.244,South
Toscana,2,4754,8.303,7.915,4.678,2.342,13.294,60.793,67.938,2.751,42.677,0.188,Central
Umbria,1,361,7.754,7.947,4.699,3.895,12.444,54.638,62.499,2.274,46.843,0.175,Central
Veneto,4,18838,8.371,8.415,4.786,3.539,13.926,56.012,64.22,2.541,37.599,0.186,North
