Region,macro_area,n_animals_summer,milk_kg_per10,milk_kg_ci95,SCS_per10,SCS_ci95
Veneto,North,1082,-0.3565,0.3239,0.3436,0.2851
Molise,South,285,-0.2316,0.2265,0.2594,0.1094
Toscana,Central,346,0.6263,0.4671,0.2078,0.7482
Sicilia,South,852,-0.3091,0.2481,0.1946,0.5747
Calabria,South,1718,-0.2108,0.292,0.179,0.2796
Piemonte,North,2071,-0.2613,0.044,0.1146,0.1642
Lazio,Central,24543,-0.0964,0.1283,0.1121,0.1185
Lombardia,North,2639,-0.0584,0.2842,0.0282,0.0895
Friuli Venezia Giulia,North,1066,-0.0798,0.0999,0.0239,0.0598
Puglia,South,3191,-0.1112,0.1925,0.0066,0.0734
Basilicata,South,1967,0.1337,0.179,-0.0035,0.2785
Campania,South,49418,-0.024,0.0912,-0.0144,0.0522
