trait,climate,r_full,r_summer,r_winter,r_THI>72,r_ET>27
milk_kg,THI_1_avg,0.065,-0.025,0.021,0.028,-0.094
milk_kg,temperature_avg,0.065,-0.023,0.02,0.029,-0.06
milk_kg,humidity_avg,-0.049,0.003,-0.03,-0.007,-0.042
fat_p,THI_1_avg,-0.068,-0.0,-0.006,-0.036,0.002
fat_p,temperature_avg,-0.068,0.001,-0.004,-0.032,-0.036
fat_p,humidity_avg,0.038,-0.005,0.009,0.006,0.041
protein_p,THI_1_avg,-0.07,0.021,-0.03,-0.032,-0.04
protein_p,temperature_avg,-0.069,0.022,-0.029,-0.015,0.012
protein_p,humidity_avg,0.033,-0.013,0.004,-0.019,-0.045
SCS,THI_1_avg,-0.061,-0.014,-0.06,-0.009,0.0
SCS,temperature_avg,-0.061,-0.013,-0.059,-0.004,0.022
SCS,humidity_avg,0.022,-0.003,0.008,-0.004,-0.011
ECM,THI_1_avg,0.041,-0.024,0.016,0.014,-0.107
ECM,temperature_avg,0.041,-0.022,0.015,0.019,-0.079
ECM,humidity_avg,-0.039,-0.002,-0.031,-0.009,-0.036
