band,dev,n,mid
"(60, 62]",-0.02208274045639729,20640,61.0
"(62, 64]",0.07312166581312822,23914,63.0
"(64, 66]",-0.04171862880074228,32678,65.0
"(66, 68]",-0.014102907325882067,42553,67.0
"(68, 70]",-0.07681545201967084,41433,69.0
"(70, 72]",-0.1049758727329529,44955,71.0
"(72, 74]",-0.03897876471404649,50826,73.0
"(74, 76]",-0.06262920925940434,55061,75.0
"(76, 78]",-0.003291638650362219,60073,77.0
"(78, 80]",0.0063594695805601256,62905,79.0
"(80, 82]",0.0027815009954745614,76035,81.0
"(82, 84]",0.08863785832492589,73930,83.0
"(84, 86]",0.03124214979298951,74266,85.0
"(86, 88]",0.05335435120919854,53552,87.0
"(88, 90]",-0.011157067979125308,30676,89.0
