band,dev,n,mid
"(60, 62]",0.4444223765443803,20640,61.0
"(62, 64]",0.509367946966026,23914,63.0
"(64, 66]",0.5671109985340544,32678,65.0
"(66, 68]",0.542716577576467,42553,67.0
"(68, 70]",0.3962768263593908,41433,69.0
"(70, 72]",0.1473111700527023,44955,71.0
"(72, 74]",0.013811775533143516,50826,73.0
"(74, 76]",0.06753759319384582,55061,75.0
"(76, 78]",-0.08651039303949497,60073,77.0
"(78, 80]",-0.1940865074822962,62905,79.0
"(80, 82]",-0.2116949581679903,76035,81.0
"(82, 84]",-0.2939312679479674,73930,83.0
"(84, 86]",-0.24136404225733465,74266,85.0
"(86, 88]",-0.21675255657664494,53552,87.0
"(88, 90]",-0.3424386572582781,30676,89.0
